student.id,student.fte_mean,student.term_gpa_mean,student.term_gpa_max,student.term_gpa_min,student.term_gpa_last,student.term_gpa_program_mean,student.term_gpa_program_max,student.term_gpa_program_min,student.term_gpa_program_last,student.status_academic_desc_last,student.isGraduated_max,graduation_year_max,student.gender_desc,student.age,student_permAddress.zone_type,student_originSchool.gpa,student_originSchool.isITESM,student.isForeign,student.isFirstGeneration,student_admission_test.score,student_admission_test_disc.dominance_score,student_admission_test_disc.influence_score,student_admission_test_disc.steadiness_score,student_admission_test_disc.conscientiousness_score,student_admission_test_valuesIndex.aesthetic_score,student_admission_test_valuesIndex.economic_score,student_admission_test_valuesIndex.individualistic_score,student_admission_test_valuesIndex.political_score,student_admission_test_valuesIndex.altruistic_score,student_admission_test_valuesIndex.regulatory_score,student_admission_test_valuesIndex.theoretical_score,student.cohort_id,student.isTec21,mainCampus.region_code,program.school_desc,program.major_id
200,0.7011111111111111,94.28888888888889,100.0,82.8,99.3,92.48888888888888,96.3,85.0,95.5,7,1,2022AD,Male,1,1,97.0,0,0,0,1493,35,67,53,77,58,6,43,33,91,46,71,2017,0,RO,EMCS,MC
202,0.8025000000000001,93.48333333333333,100.0,84.2,92.7,93.82499999999999,95.0,93.1,93.2,7,1,2020FJ,Female,0,0,98.0,0,1,-1,1507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,ISC
204,0.7853846153846155,95.30000000000001,98.5,92.7,93.5,94.9076923076923,95.6,94.6,94.9,7,1,2020AD,Male,0,0,100.0,0,1,-1,1486,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,IIA
213,0.7200000000000001,91.42666666666668,100.0,82.0,97.0,88.64666666666668,91.2,87.2,89.6,7,1,2021AD,Female,0,2,97.9,0,1,-1,1434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RM,EIC,BCP
225,0.9108333333333333,85.575,91.3,66.6,83.7,86.00833333333333,86.9,84.1,86.0,7,1,2019JM,Male,0,0,95.0,0,0,-1,1499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCS,EIC,ITIC
226,0.7407692307692307,96.30000000000001,98.0,93.5,97.0,95.56153846153846,96.2,94.8,96.2,7,1,2020AD,Male,0,2,100.0,0,0,0,1480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RO,EN,LCPF
232,0.7528571428571429,94.14999999999999,99.0,86.0,95.5,93.95714285714287,94.9,92.9,94.3,7,1,2019JM,Male,0,0,99.0,0,0,-1,1573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCMX,EIC,IIS
241,0.8216666666666667,95.33333333333333,100.0,91.7,98.8,93.63333333333333,94.7,92.9,94.7,7,1,2019AD,Male,0,0,97.0,0,0,-1,1448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RO,EIC,IMT
251,0.6953333333333334,85.80666666666666,97.0,75.0,88.0,83.50666666666666,86.6,78.2,84.9,7,0,-1,Female,0,1,94.0,0,1,1,1437,49,67,53,53,43,3,43,40,93,38,88,2018,0,RO,EIC,IBT
260,0.7907692307692309,92.64615384615385,95.7,87.7,95.2,91.61538461538461,92.9,89.1,92.9,7,1,2019JM,Female,0,0,97.4,0,0,-1,1379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCS,EIC,IBT
265,0.7178571428571429,97.10000000000001,100.0,90.4,97.8,96.69285714285715,97.2,95.9,96.8,7,1,2023FJ,Female,0,0,97.0,0,0,-1,1429,56,53,63,53,51,9,61,51,83,41,51,2017,0,RCS,EIC,IMT
268,0.64875,92.3625,100.0,79.4,87.3,90.39375,91.8,86.2,91.5,7,1,2023FJ,Male,0,0,94.0,0,1,0,1452,56,39,53,88,33,62,16,56,63,41,86,2017,0,RCS,EIC,IMT
273,0.7538461538461539,89.19999999999999,100.0,0.0,88.7,97.21538461538461,98.0,95.7,96.1,7,1,2018AD,Female,0,-1,99.0,0,1,-1,1368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RM,EN,LCPF
288,0.9620000000000001,89.71000000000001,95.0,87.0,87.0,89.53999999999999,90.8,87.6,89.8,7,1,2020FJ,Male,0,0,97.0,0,0,-1,1530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,IIS
300,0.808,80.74666666666667,95.0,30.0,83.0,85.11333333333333,89.7,83.0,83.0,7,1,2022AD,Male,0,0,96.0,0,0,-1,1419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RM,EIC,ITC
303,0.8669230769230769,90.66153846153846,97.4,75.3,97.4,89.3076923076923,91.4,85.0,90.7,7,1,2022FJ,Female,0,1,93.0,0,0,-1,1507,67,81,46,39,35,43,41,45,68,30,95,2017,0,RO,EIC,IMT
305,0.8525,80.875,84.8,71.5,71.5,83.525,84.8,80.5,80.5,7,0,-1,Male,0,0,93.0,0,0,-1,1470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,EIC,IIS
344,0.7657142857142858,89.45714285714287,98.0,77.0,98.0,90.10714285714286,92.2,88.3,90.2,7,1,2022AD,Male,0,0,98.64,0,0,-1,1504,25,81,53,77,53,36,23,63,55,51,73,2017,0,RO,EIC,IMT
355,0.7533333333333334,80.95333333333333,94.5,64.6,88.7,80.48,86.3,77.0,81.6,7,1,2020AD,Male,1,0,92.0,0,1,-1,1447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RM,EIC,ITC
381,0.7421428571428572,89.58571428571429,97.0,77.7,97.0,90.87142857142858,95.5,88.3,88.4,7,0,-1,Male,0,0,90.0,0,0,-1,1464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,IDS
409,0.6437499999999999,98.68125,100.0,94.0,100.0,98.475,99.0,96.6,98.9,7,1,2023FJ,Male,0,1,98.0,0,1,1,1508,49,60,53,67,30,31,36,65,75,55,61,2018,0,RCS,ECSG,LDP
416,0.675625,92.3875,100.0,83.0,100.0,89.93125,91.2,87.9,91.2,7,1,2022AD,Female,0,0,98.0,0,0,0,1405,67,67,63,32,31,43,21,75,65,55,66,2018,0,RM,EIC,IMT
422,0.7235714285714286,89.61428571428571,100.0,83.0,86.8,90.38571428571429,93.1,89.7,89.7,7,0,-1,Male,0,1,99.0,0,1,-1,1532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RM,EIC,IBT
457,0.7464285714285716,96.2,100.0,89.0,98.5,94.17142857142858,96.0,90.3,96.0,7,1,2023FJ,Female,0,0,99.48,0,0,0,1415,56,53,53,67,53,30,76,50,61,18,65,2018,0,RO,EIC,IBQ
465,0.7146153846153845,92.78461538461539,97.3,90.0,97.3,92.51538461538462,93.4,92.0,92.7,7,1,2019AD,Female,0,0,97.0,0,1,-1,1485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RO,EIC,IBT
468,0.7353333333333334,85.68,97.0,54.0,90.0,82.6,92.6,77.9,83.9,7,0,-1,Male,1,0,96.0,0,0,0,1490,67,60,39,67,23,50,36,56,76,46,68,2017,0,RCMX,ECSG,LEF
473,0.985,76.73333333333333,86.0,47.5,47.5,82.06666666666666,85.3,78.0,78.0,4,0,-1,Male,1,0,92.35,0,0,-1,1396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RN,EIC,IMT
475,0.8366666666666668,91.08333333333333,99.0,86.3,94.5,89.02499999999999,90.5,87.9,90.5,7,1,2020FJ,Male,0,1,95.0,0,0,-1,1445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,IMT
490,0.858,83.3,95.8,0.0,0.0,92.62,93.4,91.2,92.4,7,0,-1,Male,1,-1,90.0,0,0,0,1499,42,81,53,53,36,86,30,80,61,31,40,2018,0,RCS,EN,LAF
511,0.7669230769230769,77.1,99.0,0.0,84.0,90.08461538461538,91.1,89.0,90.8,7,1,2020MA,Female,0,0,95.0,0,0,-1,1402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RN,EN,LAF
526,0.7133333333333333,96.48,100.0,91.3,91.3,95.92,96.6,93.7,96.4,7,1,2022AD,Male,0,0,99.0,0,0,-1,1547,35,39,88,88,60,22,36,30,78,43,83,2017,0,RCS,EIC,IMT
544,0.8553846153846154,95.1,100.0,92.7,96.3,94.48461538461538,94.8,93.9,94.6,7,1,2021FJ,Male,0,0,95.0,0,0,-1,1465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RM,EIC,IMT
546,0.6094444444444445,92.82222222222222,100.0,81.0,94.4,92.26111111111112,95.0,90.9,92.0,7,1,2023FJ,Male,0,0,90.0,0,1,1,1527,67,67,53,39,33,43,70,73,63,20,55,2017,0,RCS,EN,LCDE
548,0.6511764705882354,90.84117647058824,100.0,66.7,86.2,85.31176470588235,90.0,66.7,89.4,7,1,2022AD,Male,1,-1,94.0,0,1,-1,1400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RM,EIC,IFI
558,0.7707142857142857,86.45,100.0,0.0,94.8,91.54285714285713,93.1,89.3,92.8,7,1,2023FJ,Male,1,2,92.0,0,0,-1,1425,56,60,39,77,35,34,38,70,58,41,78,2018,0,RCS,EN,LAF
573,0.8092307692307692,87.13846153846154,100.0,0.0,100.0,93.96923076923076,95.4,92.8,94.4,7,1,2023FJ,Female,0,0,100.0,0,1,0,1403,81,60,46,46,48,44,28,50,35,55,96,2018,0,RCS,EIC,IIS
581,0.8016666666666667,93.47500000000001,97.0,89.2,91.8,93.96666666666665,95.2,93.2,93.2,7,1,2018AD,Female,0,0,96.0,0,0,-1,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCS,EN,LIN
586,0.7185714285714286,93.62142857142858,100.0,83.8,92.6,92.14999999999999,93.0,90.6,92.8,7,1,2021FJ,Male,0,0,97.4,0,0,-1,1475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCS,EIC,IC
608,0.8714285714285713,85.91428571428571,99.8,0.0,93.7,89.95714285714287,92.1,87.4,91.8,7,1,2023FJ,Female,0,0,99.0,0,0,1,1512,67,67,53,39,46,12,41,58,56,36,99,2017,0,RN,EIC,ING
611,0.6852631578947368,93.29473684210525,98.0,89.8,91.7,94.28421052631579,96.4,93.3,93.3,-1,0,2023JS,Male,1,0,98.05,1,1,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RM,EMCS,MC
615,0.7000000000000001,93.95714285714287,99.0,89.0,89.0,94.62857142857142,96.7,94.0,94.1,7,1,2021FJ,Male,0,1,91.3,0,1,-1,1530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCS,EIC,IBT
621,0.6286666666666666,88.11999999999999,100.0,0.0,0.0,89.27333333333333,92.3,84.6,92.3,7,0,-1,Male,1,0,92.0,0,1,-1,1485,67,60,39,67,31,44,43,70,53,55,60,2018,0,RM,EN,LIN
627,0.6753333333333333,87.03333333333333,98.5,0.0,97.5,91.33333333333333,92.4,89.0,91.7,7,1,2023FJ,Male,0,0,97.93,0,1,0,1470,35,81,53,67,38,44,31,51,76,45,70,2018,0,RM,EIC,IMD
642,0.8436363636363637,96.38181818181819,100.0,89.0,98.3,95.38181818181819,96.2,94.3,95.9,7,1,2022FJ,Male,1,0,97.2,0,0,0,1523,67,67,39,53,35,31,40,60,78,23,86,2018,0,RCMX,EN,LCDE
655,0.8121428571428572,80.95714285714287,92.1,0.0,77.8,89.32857142857142,90.9,88.5,88.5,7,1,2022FJ,Male,0,0,100.0,0,0,1,1466,81,53,17,99,53,28,28,65,60,41,78,2017,0,RM,EIC,IMT
672,0.7235714285714285,92.89285714285714,100.0,85.0,94.2,93.18571428571428,93.6,92.7,93.1,7,1,2019AD,Female,0,-1,98.0,0,0,-1,1364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,ECSG,LED
674,0.7269230769230769,91.22307692307693,97.0,81.0,91.3,91.0076923076923,92.1,88.2,91.8,7,1,2022FJ,Male,1,0,95.0,0,0,1,1474,67,60,53,46,21,98,40,86,51,28,41,2017,0,RN,EN,LCDE
691,0.6633333333333333,95.60666666666665,100.0,88.0,98.3,94.33333333333333,95.7,93.4,94.4,7,1,2022AD,Male,0,0,99.66,0,0,0,1466,49,60,53,67,53,46,43,50,40,45,80,2018,0,RN,EIC,IBQ
692,0.9727272727272727,85.9090909090909,95.3,70.0,86.6,86.37272727272727,88.2,82.1,87.7,7,1,2020FJ,Male,0,0,94.0,0,1,-1,1490,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RM,EIC,BCN
695,0.8574999999999999,97.84166666666665,100.0,94.2,98.3,96.625,97.9,95.5,97.9,7,1,2022AD,Female,0,2,100.0,0,0,1,1458,25,81,77,53,48,40,33,65,61,63,45,2018,0,RO,EN,LAF
712,0.7042857142857144,85.78571428571429,100.0,70.0,91.7,86.05714285714285,90.1,84.6,85.8,7,1,2020AD,Male,0,0,93.0,0,1,-1,1427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCMX,EIC,IMT
719,0.7808333333333334,95.88333333333333,100.0,88.0,98.5,96.44166666666666,98.0,95.3,96.0,7,1,2020AD,Male,0,-1,100.0,0,-1,-1,1547,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RN,EIC,IMT
721,0.8890909090909092,87.55454545454546,99.1,0.0,99.1,95.55454545454545,96.2,93.7,96.2,7,1,2020AD,Female,0,0,99.0,0,0,-1,1418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RO,EN,LDN
764,0.689,85.96000000000001,98.0,0.0,94.2,90.485,91.5,88.4,90.5,-1,0,-1,Male,0,0,100.0,0,0,1,1412,81,28,46,88,16,43,33,46,61,60,96,2017,0,RO,EMCS,MC
765,0.8484615384615386,92.72307692307693,100.0,86.7,90.4,92.15384615384616,93.0,91.6,91.8,7,1,2023FJ,Male,0,1,94.0,0,0,0,1413,49,81,46,53,78,46,51,43,58,43,36,2018,0,RCS,EAAD,ARQ
773,0.9192857142857144,81.05,91.0,50.0,82.8,84.25,87.6,82.5,82.9,7,1,2022AD,Male,0,0,100.0,0,0,-1,1409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RO,EIC,IIS
788,0.8745454545454546,96.05454545454545,98.7,93.5,98.0,95.85454545454546,96.7,95.5,96.2,7,1,2018AD,Female,0,0,100.0,0,0,-1,1462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCMX,EN,LAE
798,0.7800000000000001,92.76666666666667,97.8,85.5,97.0,92.85000000000001,95.5,91.3,93.0,7,1,2020AD,Female,0,0,100.0,0,1,-1,1494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCMX,EIC,IMT
802,1.0044444444444445,92.76666666666667,96.7,88.7,96.7,92.82222222222222,93.9,91.8,93.0,7,1,2018AD,Male,0,-1,97.0,0,-1,-1,1362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RN,EIC,BSI
813,0.8121428571428572,93.10000000000001,100.0,86.7,93.5,91.70714285714287,95.0,90.0,92.2,7,1,2022AD,Male,0,0,98.0,0,0,0,1421,67,39,53,77,60,34,43,56,53,30,78,2017,0,RN,EIC,IMT
814,0.8216666666666667,89.7,97.0,74.5,93.7,90.94166666666666,91.4,90.6,90.6,7,1,2019AD,Female,0,-1,94.0,0,-1,-1,1418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RN,EIC,IMT
839,0.7457142857142857,86.40714285714286,100.0,0.0,93.0,93.98571428571428,96.5,92.0,92.0,7,1,2020FJ,Male,0,1,96.0,0,0,-1,1388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RO,EIC,IMT
845,0.786,89.3,98.0,74.2,95.2,86.88666666666667,90.0,79.2,90.0,7,1,2022FJ,Female,0,0,97.41,0,0,1,1424,67,28,63,77,23,36,38,65,73,40,80,2017,0,RO,EIC,IMT
848,0.7764285714285715,85.62857142857142,98.0,78.0,94.2,84.10000000000001,85.2,83.1,85.0,7,1,2021FJ,Male,0,-1,90.0,0,0,-1,1474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RN,EIC,IMT
851,0.9354545454545454,83.49090909090908,98.0,0.0,91.6,91.2909090909091,92.2,88.3,91.9,7,1,2019JM,Female,0,0,96.0,0,0,-1,1434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RM,EAAD,LDI
868,0.8775000000000001,77.96666666666667,91.3,0.0,91.3,86.26666666666667,88.7,84.7,85.8,7,1,2019JM,Male,0,0,95.79,0,0,-1,1393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,EIC,IMT
869,0.7478571428571429,90.13571428571429,100.0,78.0,92.6,88.8,90.1,86.9,90.1,7,1,2021FJ,Female,0,0,96.0,0,0,-1,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCS,EIC,IBT
896,0.7733333333333333,91.85333333333332,100.0,75.5,95.6,90.72666666666667,92.8,88.5,91.7,7,1,2020FJ,Female,0,0,98.1,0,0,-1,1442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCMX,EIC,IQA
913,0.7420000000000001,92.63333333333334,100.0,84.2,95.2,88.74666666666667,91.4,85.9,91.4,7,1,2021FJ,Male,1,0,95.0,0,0,-1,1499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCS,EIC,IIS
923,0.6581250000000001,86.86875,98.6,0.0,95.3,90.76875,92.9,87.7,92.9,7,1,2023FJ,Female,0,1,97.0,0,1,1,1417,67,81,46,39,31,43,43,55,78,41,65,2018,0,RCS,EIC,IA
929,0.9718181818181819,92.0909090909091,96.1,84.5,94.3,94.4090909090909,96.1,92.3,92.4,7,1,2019AD,Male,0,1,92.0,0,0,-1,1383,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,EAAD,ARQ
955,0.7476923076923078,79.86923076923077,100.0,0.0,95.5,93.20769230769231,94.7,91.0,92.8,7,1,2020AD,Male,0,2,93.0,0,0,-1,1415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RM,EIC,BAU
959,0.8553846153846154,91.02307692307691,99.5,77.3,95.0,87.43076923076923,91.1,80.9,91.1,7,1,2022FJ,Female,0,1,99.0,0,1,-1,1496,35,99,63,46,65,15,61,36,80,45,48,2017,0,RM,EMCS,MO
967,1.049090909090909,96.44545454545455,100.0,92.7,92.7,96.4,96.7,95.6,96.3,7,1,2019JM,Male,0,0,98.0,0,0,-1,1356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RM,EAAD,ARQ
983,0.8424999999999999,88.72500000000001,95.7,77.2,95.4,86.24166666666667,88.9,82.4,88.9,7,1,2018AD,Female,0,0,92.0,0,0,-1,1424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCMX,EN,LAE
994,0.8684615384615385,81.22307692307693,96.2,0.0,95.7,89.36153846153846,91.5,81.7,91.5,7,1,2022AD,Female,0,0,94.0,0,0,1,1459,81,81,46,32,60,68,50,65,71,33,13,2017,0,RCS,EN,LAE
995,0.859090909090909,97.2,100.0,92.5,97.4,98.3,99.7,97.1,97.2,7,1,2021FJ,Female,1,1,99.0,0,1,-1,1523,56,67,32,77,38,95,45,53,68,30,36,2017,0,RCMX,EN,LIN
997,0.7171428571428572,93.21428571428571,98.5,83.8,97.0,92.73571428571428,94.1,91.1,93.5,7,1,2020AD,Male,0,0,98.0,0,0,-1,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCMX,EIC,IMT
1006,0.7961538461538461,96.54615384615384,99.6,90.0,99.6,96.16153846153846,96.9,95.3,96.9,7,1,2018AD,Male,0,2,97.0,0,1,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCS,EIC,ISD
1012,0.8641666666666667,90.51666666666667,99.2,83.0,99.2,88.3,90.6,87.0,90.6,7,1,2021FJ,Male,1,0,98.4,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RO,EIC,BMI
1019,0.8091666666666667,91.875,100.0,82.0,100.0,90.675,93.6,89.1,91.5,7,1,2019JM,Male,0,0,95.0,1,0,-1,1467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RN,EIC,IMT
1038,0.79,86.29285714285713,94.5,75.0,88.0,84.25,89.2,81.2,86.5,7,0,-1,Female,0,2,99.0,0,1,-1,1426,49,81,46,53,55,31,18,53,51,61,83,2018,0,RN,EIC,IBQ
1056,0.8158333333333333,99.09166666666665,100.0,98.0,100.0,99.02499999999999,99.4,98.8,99.1,7,1,2023FJ,Male,0,0,96.0,0,0,0,1527,25,99,63,53,58,24,55,40,75,36,65,2018,0,RM,EN,LAE
1059,0.8833333333333334,86.86666666666667,96.5,56.5,93.8,87.72500000000001,88.4,86.5,88.2,7,1,2019AD,Female,0,2,99.0,0,0,-1,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RO,EIC,IBN
1069,0.795,91.41666666666667,100.0,85.2,94.8,89.56666666666666,91.0,87.9,91.0,7,1,2021AD,Male,0,0,94.1,0,0,0,1529,25,67,53,88,66,15,35,21,85,41,86,2017,0,RCMX,EIC,IBT
1148,0.8038461538461538,88.24615384615385,95.3,81.3,95.3,86.58461538461538,88.1,85.4,88.1,7,1,2019JM,Female,1,0,94.0,0,0,-1,1409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,EIC,IBT
1163,0.8233333333333334,97.40833333333335,99.5,96.0,97.3,96.61666666666667,97.1,96.0,97.1,7,1,2019AD,Male,0,0,99.0,0,0,-1,1409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,IIS
1174,0.8253846153846154,93.07692307692308,96.7,87.3,93.0,91.53846153846153,92.8,89.7,92.8,7,1,2023FJ,Female,0,1,95.2,0,0,1,1415,56,81,39,53,28,46,61,58,80,26,56,2018,0,RCMX,EHE,LCMD
1187,0.8341176470588235,82.88823529411764,99.5,0.0,94.3,91.63529411764705,97.4,86.7,87.4,7,1,2020AD,Male,0,2,99.89,0,0,-1,1465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,EAAD,ARQ
1210,0.7613333333333333,93.12666666666668,99.0,83.8,95.3,89.78666666666666,92.2,87.2,92.2,7,1,2022AD,Female,0,0,97.0,0,0,0,1431,42,60,53,77,45,31,43,48,65,46,75,2017,0,RCS,EIC,IIS
1213,0.7457142857142857,78.97857142857143,97.5,0.0,0.0,92.18571428571428,93.3,90.2,92.1,7,0,-1,Male,0,0,95.0,0,1,-1,1415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RCS,EIC,IBT
1239,0.7285714285714286,94.46428571428571,98.0,86.0,96.8,93.67857142857143,94.6,92.3,94.5,7,1,2019JM,Male,0,1,99.0,0,1,-1,1447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCS,EIC,ISD
1242,0.7750000000000001,89.55,100.0,75.7,96.4,84.47857142857143,87.1,81.9,87.1,7,1,2020AD,Female,0,0,96.2,0,1,-1,1412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RO,EIC,IMD
1244,0.706875,77.71875,91.5,0.0,88.3,81.64375,85.2,80.0,81.9,7,1,2020FJ,Female,0,2,99.65,0,0,-1,1465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RO,EN,LIN
1267,0.8107142857142858,93.34285714285714,99.8,89.4,99.8,91.46428571428571,93.5,89.7,93.5,7,1,2020AD,Male,0,0,90.0,0,0,-1,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCS,EIC,ITIC
